id	fecha	acto	pr	pieza	que_no_se_corrio	razon	impacto	sucesor	estado	cerrado_por	fecha_cierre
NC-0015	2026-09-08	GEN2-E7	PR #612	E7.A / E7.B	Piezas A y B (nube): corredores M/R/L y agregado envueltos para GEN2; Go/No-Go del marcador	FUERA-DE-PERIMETRO	GO-MARCADOR no se emite por este PR; los seis checks mecanicos de B (MARCO-VIGENTE-UNICO, M-DESDE-CONTRATO, R-SIN-HEURISTICA, L-SPEC-v1_2, AGREGADO-DERIVADO, LEGACY-NO-LEIDO) siguen sin veredicto	ACTO GEN2-E7 piezas A/B (NUBE, PR propio; D-11: un encargo, dos entornos, dos PR) || CERRADA: las piezas A y B se ejecutaron en PR #613, que es el sucesor que esta misma fila declaraba (D-11: un encargo, dos entornos, dos PR). CALC-M y CALC-AGG sellados y con verify REPRODUCE; Go/No-Go GO-MARCADOR (6/6).	CERRADA	PR #613 (ACTO GEN2-E7, piezas A/B/D, nube)	2026-09-08
NC-0016	2026-09-08	GEN2-E7	PR #612	E7.C1	(C1) tests/test_alta_relacion.py cinco casos con fixture propio	PARO-PREMISA	no se escribio archivo nuevo: los cinco casos existen desde el 3/sep (f62a761, MAESTRA37-INFRA-1) en tools/curador_registro/tests/, con fixture propio y 5 passed. Escribir tests/test_alta_relacion.py habria duplicado cinco casos bajo un nombre en colision. Lo medido y no cubierto es otra cosa: la suite no los corre	FP-344 || CERRADA: su sucesor declarado era FP-344, y FP-344 queda FIRMADA en este PR: los cinco casos de tools/curador_registro/tests/test_alta_relacion.py estan cableados a la suite como T38 T-ALTA-RELACION y `jsonschema` entra a requirements.txt para que corran de verdad (5/5 OK). El PARO-PREMISA ya no se sostiene.	CERRADA	PR #613 (ACTO GEN2-E7 pieza D)	2026-09-08
NC-0017	2026-09-08	GEN2-E7	PR #612	E7.C3	(C3) tools/arbitra.py contra fixture -- camino --produce	NO-VERIFICABLE-AQUI	el veredicto de C3 cubre el camino por defecto (main()); --produce lee codificacion-R-v1_0.tsv y exige corpus mas escritura en corridas-R/, fuera del perimetro C. R-SIN-HEURISTICA sobre --produce queda sin medir	FP-346	ABIERTA		
NC-0018	2026-09-08	GEN2-E7	n/a	A2 -- cada celda R como CALC-R-<celda> con inputs de manifiesto	el deposito y la corrida de los directorios data/corrida0/CALC-R-<celda>/ para las 14 celdas del marco vigente	"FUERA-DE-PERIMETRO -- el propio encargo lo excluye (""R no: R necesita corpus y va a caja en E5 o despues"") y NUBE no tiene data/raw/: resolver_payload devuelve AUSENTE para las 14"	tools/arbitra_gen2.py entrega la resolucion exacta (payload_id de codificacion-R-v1_0.tsv + resolver_payload) y spec_de_celda() emite la spec completa, pero ningun CALC-R-* existe en el arbol; el eje M-vs-R del agregado queda NO-ESTIMABLE	acto de CAJA (E5 o posterior): depositar spec.md/spec.yaml por celda con el sha del payload y correr corrida0.py run	ABIERTA		
NC-0019	2026-09-08	GEN2-E7	n/a	A3 -- corredor L sucesor para L-spec-v1_2.json	las 224 corridas reales del corredor L (14 celdas x 2 variantes x k=8) contra el modelo	CONTADOR-CERO-DECLARADO -- el encargo declara readiness, no corrida; el modo --correr esta escrito y NO se ejercio	solo se ejercio --dry-run (plan de 224, rutas unicas, esquema declarado); corridas-L-gen2/ no existe todavia y el eje M-vs-L del agregado queda NO-ESTIMABLE	acto sucesor que ejerza corredor_l_v1_2.py --correr con presupuesto y firma de mesa; requiere `claude` en PATH con sesion activa	ABIERTA		
NC-0020	2026-09-08	GEN2-E7	n/a	A5 -- paso 3, unidad de celda (regla x ola x instrumento vs regla x segmento)	la decision de mesa sobre la unidad de celda, y la correccion de las dos afirmaciones vencidas que este acto asento	"DECISION-DE-MESA -- el encargo dice explicitamente que este acto entrega la tabla de opciones y NO la toma; corregir diagnostico-14-celdas-v1_0.tsv y el aviso_M de L-spec-v1_2.json esta fuera del perimetro (""no toca ... corridas-R/M/L"", y ambos son archivos sellados de otro acto) || CERRADA por ACTO GEN2-T9 (D-2, firma de mesa 8/sep/2026): la celda del marcador es regla x segmento (x, sobre los seis ejes del modelo) x ola x instrumento. Las 14 celdas de hoy son el caso x = vacio y se conservan; NO se colapsan olas; la dimension que falta es el segmento. Las cuatro opciones de la nota de E7 estaban incompletas -- ninguna contenia la dimension de la matriz -- y se anota por enmienda fechada, no por reescritura. La constancia de M dentro de CIV queda explicada y no es defecto del emisor: con x = vacio la evaluacion matricial se reduce a la p base de la regla (ADR-91, M1). Los dos documentos vencidos que esta fila nombraba SI se corrigen aqui, dentro de perimetro: diagnostico-14-celdas-v1_0.tsv por enmienda fechada al pie (0.62 es v1_2; el vigente emite 0.085118), y el aviso_M de L-spec-v1_2.json por FP-347 con sucesor nombrado (el JSON sellado no se edita)."	el marcador sigue con 14 celdas y M distingue 5 (RESULT-M-P-DISTINTOS=5); dos documentos vigentes afirman cifras que el marco v1_3 ya no produce (p=0.62 en TRA-M-02/03/07; DIN-M-01 sin M)	acto de mesa que elija entre las cuatro opciones de forense/notas/2026-09-08-GEN2-E7-paso-3-unidad-de-celda.md; y acto sucesor que corrija los dos documentos vencidos con firma	CERRADA	PR de ACTO GEN2-T9 (mismo acto)	2026-09-08
NC-0021	2026-09-08	GEN2-E7-D	n/a	D6 (FP-345 -> FIRMADA, FP-344 cablear test_alta_relacion.py) y el contador «NC-0016 -> CERRADA»	la firma de FP-344/FP-345, el cableado de tests/test_alta_relacion.py a la suite, y el cierre de la fila NC- que la enmienda nombra	PARO-PREMISA -- los tres artefactos viven en la PIEZA C (PR #612, no fusionado) y NO existen en este arbol: el maximo de forense/firmas-pendientes.tsv aqui es FP-343, y tests/test_alta_relacion.py no existe. Ademas, el `NC-0016` que la enmienda manda cerrar NO es el NC-0016 de este arbol: la enmienda se redacto contra origin/main + la rama de la pieza C, antes de que la pieza A de este mismo acto añadiera NC-0015/NC-0016/NC-0017; aqui esa fila es la del corredor L, hoy NC-0019 tras renumerar por colision con PR #612 (las 224 corridas). Cerrarlo habria escrito una falsedad sobre una fila ajena, y firmar dos FP inexistentes otra.	no_corrido_abiertas NO baja -1 y fp_abiertas NO baja -2 con la pieza D, contra lo que declara el contador de la enmienda. El cambio de fondo de D6 (la ruta del lock en tests/manifiesto.py) SI se hizo: es lo unico de ese inciso que no depende de la pieza C.	al fusionar PR #612 (o en un acto sucesor): (1) firmar FP-345 con la ruta del lock ya corregida por esta pieza; (2) cablear tests/test_alta_relacion.py a tests/check.py con una linea, como pide FP-344; (3) cerrar la fila NC- de la pieza C que corresponda -- identificarla por su TEXTO (PARO-PREMISA con sucesor FP-344), no por su numero, porque la numeracion se corrio. || CERRADA en el MISMO PR, tras traer main: PR #612 (pieza C) fusiono mientras este PR estaba abierto y trajo al arbol FP-344, FP-345 y tools/curador_registro/tests/test_alta_relacion.py -- los tres artefactos cuya AUSENCIA era la premisa de esta fila. Hechos los tres: FP-345 FIRMADA (la correccion del lock ya estaba en esta rama), FP-344 FIRMADA (T38 T-ALTA-RELACION + jsonschema en requirements.txt, 5/5 OK), y la fila de la pieza C con sucesor FP-344 -- identificada por su TEXTO y no por su numero, como esta misma fila advertia -- CERRADA. Los contadores de la enmienda SI se cumplen ahora: no_corrido_abiertas -1 (de hecho -3) y fp_abiertas -2.	CERRADA	PR #613 (ACTO GEN2-E7 pieza D, mismo PR)	2026-09-08
NC-0022	2026-09-08	GEN2-T9	n/a	P2(a) -- D11 de ACTO GEN2-E3-1 (ADR-396) declaraba scaffold historico al ejecutable que ADR-91 sello	la revocacion de D11 esta hecha en este acto; lo que NO se corrio es la re-verificacion de los actos que ya se apoyaron en D11 para dejar milpa/src/ fuera de perimetro	DECISIÓN-DE-MESA-PENDIENTE -- D11 se dicto contra el arbol sin cotejarla con ADR-91 (firma verbatim: M1 computo matricial como definicion del ejecutable). Este acto la revoca y lo asienta; que mesa confirme la revocacion en el merge es la firma, y revisar si GEN2-E5/E5-0/E6 tomaron decisiones apoyadas en D11 es trabajo de un sucesor, no de aqui	ninguna cifra se mueve. Lo que queda abierto es si algun acto posterior a ADR-396 excluyo el motor de su perimetro citando D11; de haberlo, su perimetro se calculo sobre una premisa revocada	acto sucesor que barra los actos posteriores a ADR-396 buscando citas de D11; C0-C cuando entregue motor y emisor limpios	CERRADA	ACTO AUTO-MOTOR-1 -- barrido acotado de forense/encargos/** por citas a D11: solo forense/encargos/2026-09-08-GEN2-E7-READINESS-2.md cita el D11 de ADR-396 (contemporaneo a su declaracion) y ya esta ## CONSUMIDO (PR #613, previo a esta revocacion); ningun encargo activo o pendiente excluye milpa/src/** citando el D11 ya revocado	2026-09-08
NC-0023	2026-09-08	GEN2-T9	n/a	P3(e) -- el motor matricial corrido de punta a punta sobre las tres celdas-D semilla y el catalogo AJUSTE	motor.evaluar() y matriz.g(B, theta(x)) sobre las tres celdas-D: NO se corrieron porque procedencia.cargar() LANZA ClaseDesconocida sobre milpa/procedencia.yaml	PARO-PREMISA -- dos valores de clase: que milpa/src/clases.py no conoce por prefijo (REFUTADO-POR-COTA, escrito por ACTO MAESTRA37-N8; EVIDENCIA_EXPERIMENTAL_TERCEROS, sellado por ADR-204 y ya declarado como defecto preexistente en el comentario de milpa/src/procedencia.py). Sin Procedencia no hay B, y sin B no hay g(x) ni evaluar(). NO se parchea aqui: milpa/src/** esta fuera del perimetro de este acto (el motor se corre, no se edita)	CALC-MOTOR-celdas-semilla sella RESULT-MOTOR-ESTADO-B = NO-EJECUTABLE en vez de veredictos por celda. El ejecutable que ADR-91 sello como definicion del ejecutable no arranca hoy, y no se habia notado porque nada lo corria -- que es la consecuencia de haberlo declarado scaffold (D11)	acto sucesor con milpa/src/clases.py en perimetro: dar prefijo conocido a las dos clases (o declarar por que no lo llevan), y volver a correr CALC-MOTOR-celdas-semilla para que RESULT-MOTOR-ESTADO-B pase a CARGA	CERRADA	ACTO AUTO-MOTOR-1 -- milpa/src/clases.py gana REFUTADO_POR_COTA/EVIDENCIA_EXPERIMENTAL_TERCEROS; CALC-MOTOR-celdas-semilla-v2 (repite_de la predecesora) sella RESULT-MOTOR-ESTADO-B = CARGA con tres veredictos reales sobre las celdas-D semilla	2026-09-08
NC-0024	2026-09-08	GEN2-T9	n/a	P3(b) -- el marcador por segmento (celda con x != vacio, M por motor matricial y R por IC de la entrada _ejes_)	el marcador por segmento: DISENADO en la nota del acto, NO corrido	DIFERIDO-A:C0-D -- el encargo lo declara explicitamente («no corre el marcador por segmento (C0-D, tras C0-C)»). Depende de C0-C (motor y emisor limpios) y, antes de eso, de que el motor arranque (la NC de arriba)	las 14 celdas del marcador siguen con x = vacio: RESULT-AGGOLA-CELDAS-CON-SEGMENTO = 0 contra 74 puntos por eje con IC95 que existen del lado del arbitro y que ninguna celda consume. El eje M-vs-R por segmento sigue NO-ESTIMABLE	ACTO C0-D, despues de C0-C	ABIERTA		
NC-0025	2026-09-08	GEN2-T9	n/a	P3(c) -- modulacion por ola	la modulacion se demostro sobre 2 reglas (6 de 14 celdas), no sobre el universo	"NO-VERIFICABLE-AQUÍ -- hoy solo 2 reglas de las que el marco vigente usa traen serie_olas: familia.seguro.volatilidad_ausencia_estado (6 olas) y tramite.mordida.discrecional:enmienda_encig2025 (8 olas). Las otras 8 celdas salen modela_ola: NO porque no hay serie que leer, no porque el aparato falle || ENMIENDA DE MESA RECIBIDA EN VUELO (8/sep/2026, ADENDA a P3(c) del ACTO GEN2-T9): (1) la regla de ola pasa de ""mas cercana distinta al arbitro"" a ""ultima estrictamente anterior; sin anterior -> SIN-PREVIA y la celda no modula"" -- la regla vieja elegia una POSTERIOR cuando la serie no traia anterior, que es fuga temporal; (2) las entradas de serie con metodo R-json se rotulan ORIGEN-ARBITRO y toda celda que module con una queda VERIFICACION-NO-PUNTUA, porque F-DD (ADR-237) cubre misma-encuesta-misma-ola y no la reutilizacion cruzada. Las dos reglas quedan implementadas y probadas; las corridas selladas NO se reescriben (CALC-INMUTABLE) y la adenda entra por sucesion declarada repite_de: CALC-M-...-ola-v2 y CALC-AGG-...-ola-v2, con las predecesoras SUPERADAS y sus bytes intactos."	RESULT-MOLA-N-CON-SERIE = 6 y N-SIN-SERIE = 8. Ninguna cifra de la modulacion entra a un veredicto: es modelo nuevo y va a C0-B con spec propia || Medido al instalar las dos reglas: CERO celdas cambian de ola y CERO cambian de p (las 6 que modulan ya tenian ola anterior; los 6 puntos son identicos entre v1 y v2, comparados archivo contra archivo). N-SIN-PREVIA = 0 y N-ORIGEN-ARBITRO = 0 hoy: los dos guards se declaran aunque no muerdan. corredores_envueltos_legacy 5 -> 7.	C0-B lote 1 (spec de la modulacion por ola); y los actos de medicion que añadan serie_olas a mas reglas	ABIERTA		
NC-0026	2026-09-08	GEN2-T9-ADENDA	n/a	ADENDA precision 1 -- la envoltura por celda de tools/emite_m.py que consuma la regla de ola previa estricta	la envoltura por celda NO se escribio: las dos reglas quedan como funciones PURAS en tools/emite_m.py, probadas y consumidas por el CALC de demostracion, pero emite_celda (el camino de emision vigente) NO las llama	DIFERIDO-A:C0-D -- cablearlas a emite_celda cambiaria la M que el emisor produce hoy, y con ella las corridas-M ya selladas. Eso es el marcador GEN2 por segmento/ola, que el propio encargo difiere a C0-D tras C0-C. Escribir hoy una envoltura que nada llama seria codigo muerto; escribirla y cablearla seria salirse del perimetro	ninguna corridas-M/*.json cambia. La regla existe, esta probada y tiene un consumidor (el CALC demo), pero la M que el marcador emite hoy sigue sin modular por ola	ACTO C0-D (marcador GEN2), que consume las dos funciones ya especificadas y probadas aqui	ABIERTA		
NC-0027	2026-09-08	GEN2-T9-ADENDA	n/a	RAIZ mal derivada en data/corrida0/CALC-MOTOR-celdas-semilla/medidor.py (tres dirname para un archivo cuatro niveles adentro)	la correccion en el medidor de CALC-MOTOR-celdas-semilla: NO se aplico	FUERA-DE-PERÍMETRO -- la corrida esta SELLADA y corrida0 run lo impide (CALC-INMUTABLE); reescribirla exigiria una sucesora repite_de solo por un defecto que NO afecto su resultado (RAIZ solo se usa para sys.path, y corrida0 se invoca desde la raiz, que ya estaba en sys.path)	ninguno hoy. El defecto muerde solo si alguien invoca ese medidor desde un CWD distinto de la raiz del repo, y entonces falla el import del motor con un error de modulo, no con una cifra mala	NO cerrada por ACTO AUTO-MOTOR-1 (NC-0023) pese a ser su sucesor nombrado: el defecto se detecto DESPUES de sellar CALC-MOTOR-celdas-semilla-v2, y corrida0 run impide reescribir un CALC sellado (CALC-INMUTABLE) -- abrir una tercera sucesora solo por RAIZ, sin efecto en ningun RESULT, no se justifico. Sucesor renombrado: el proximo acto que edite o cree un medidor de esta familia, nace con los cuatro dirname	ABIERTA		
NC-0028	2026-09-08	GEN2-T10	n/a	P3(b)-1 -- B sobre datos reales	no se calculo ninguna cifra B real; el selector queda instalado, no consumido	DIFERIDO-A:C0-B	sin cifra B ni mejora medida de M; spec del CALC consumidor (con snapshot y disponible_desde documentado) queda pendiente	C0-B	ABIERTA		
NC-0029	2026-09-08	GEN2-T10	n/a	P3(b)-2 -- nuevos R/L, ensamble E y adopciones	ningun corredor R/L nuevo, ningun ensamble E, ninguna adopcion de parametros	FUERA-DE-PERÍMETRO	NC-0018/NC-0019 sin cambio; el selector no mueve ninguna cifra de R, L ni E	cola vigente (NC-0018/NC-0019)	ABIERTA		
NC-0030	2026-09-08	GEN2-T10	n/a	P3(c) -- linea en hallazgos.md que registre la adenda de mesa a T9 como derivada de la propuesta seccion Correccion material	la linea, tal como el encargo la pide (atribuir a esta propuesta el envio/fusion de la adenda), no se escribio asi -- se escribio corregida	SUSTITUIDO-POR:PR #618	ninguna cifra de GEN2 se mueve; forense/hallazgos.md no gana una linea redundante con las que PR #618 ya escribio (NC-0026/NC-0027); el documento aplicado por P1 (verbatim, no editado -- A.3) queda con su seccion Correccion material describiendo en futuro ("sube a T9 como adenda") una regla que el arbol ya tiene desde PR #618 -- no se edita in situ, se senala aqui	ninguno vivo -- la correccion es esta misma fila y la linea de hallazgos.md que la acompana	CERRADA	esta misma fila (ACTO GEN2-T10)	2026-09-08
NC-0031	2026-09-08	GEN2-T10	n/a	P5/A.14 -- rama del acto con el rotulo (convencion: crear una rama nombrada por el rotulo del acto, fusionarla o borrarla al cerrar)	se trabajo sobre claude/new-session-xhtzkj (la rama que el entorno de ejecucion -- Claude Code Remote -- asigna a esta sesion), no sobre una rama nueva nombrada por el rotulo del acto	DECISIÓN-DE-MESA-PENDIENTE	la politica de cero ramas (A.14) no se ejecuta con su mecanica normal (fusionar/borrar la rama propia del acto) porque la rama es la que el entorno de sesion asigna y sus instrucciones prohiben empujar a otra sin permiso explicito; ningun contador GEN2 se mueve por esto	mesa decide, en el merge, si acepta esta rama o pide reabrir el acto bajo una rama con el rotulo GEN2-T10	ABIERTA		
NC-0032	2026-09-08	AUTO-DIGESTO-1	n/a	P4 demostracion (tests/test_digesto_nc.py + digesto real)	demostracion periodica publicada por una rutina real (/tramite en produccion, varios dias distintos con commits separados en el tiempo)	NO-VERIFICABLE-AQUI	el contrato P1-P3 y los 14 casos de test_digesto_nc.py ya cubren salto de dias y dos publicaciones el mismo dia sobre fixtures; falta solo la corroboracion en produccion real	tramite (rutina diaria)	ABIERTA
NC-0033	2026-09-08	AUTO-DIGESTO-1	n/a	P2 caso de aceptacion (SHA corto ambiguo)	referencia historica con SHA corto ambiguo -- ningun caso real hoy en el arbol	NO-VERIFICABLE-AQUI	ninguno: _git_rev_parse rechaza y no adivina, mismo camino que SHA no recuperable ya testeado	mesa (revisitar si algun dia el arbol real produce dos commits con el mismo prefijo corto en forense/digesto/)	ABIERTA
NC-0034	2026-09-08	GEN2-T11	n/a	P3 -- reserva minima anticipada por el encargo: 3 ramas de rutina sin fusionar (D-B)	la reserva no aplica: censo/2026-09-08, claude/tramite-2026-09-08 y claude/revisa-post-hoc-614 ya estaban fusionadas (PR #617, #619, #616) antes de que este acto arrancara	PARO-PREMISA -- la premisa (D-B pendiente) dejo de sostenerse contra el arbol real; mesa ya la habia resuelto por fuera de este acto	ninguno -- la seccion I del digesto que P1 repara muestra huellas reales de despacha/tramite en la ventana de 7 dias, no SIN HUELLA por rama-sin-fusionar como el encargo temia	SIN-ASIGNAR -- ya resuelto por mesa, no requiere sucesor	CERRADA	esta misma fila (ACTO GEN2-T11)	2026-09-08
NC-0035	2026-09-08	GEN2-T11	n/a	P5/A.14 -- rama del acto con el rotulo (convencion: crear una rama nombrada por el rotulo del acto, fusionarla o borrarla al cerrar)	se trabajo sobre claude/new-session-uqptgt (la rama que el entorno de ejecucion -- Claude Code Remote -- asigna a esta sesion), no sobre una rama nueva nombrada por el rotulo del acto -- mismo patron exacto que NC-0031 de ACTO GEN2-T10	DECISIÓN-DE-MESA-PENDIENTE -- las instrucciones de esta sesion prohiben empujar a otra rama sin permiso explicito del operador	la politica de cero ramas (A.14) no se ejecuta con su mecanica normal (fusionar/borrar la rama propia del acto con el rotulo GEN2-T11); ningun contador GEN2 se mueve por esto	mesa decide, en el merge, si acepta esta rama o pide reabrir el acto bajo una rama con el rotulo GEN2-T11 -- mismo sucesor que NC-0031	ABIERTA		
